"JOE ANN SARI-SARI STORE","BLK. 4, LOT6, KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG 2, PINAGBUHATAN","SAR SARI-SARI STORE","BLK. 4, LOT6, KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"ROBINSON PEREÑA ROOM RENTAL","BLK. 6 LOT 14, KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG, PINAGBUHATAN","APT LESSOR - APARTMENT RESIDENTIAL","BLK. 6 LOT 14, KINGFISHER ST. CENT.2 SUNRISE NAGPAYONG","PINAGBUHATAN","14.5465942","121.0999434"
"ROCELYN L. BERNABE APARTMENT","BLK. 6 LOT 27, DIAMOND ST. GREENWOODS PHASE 4, PINAGBUHATAN","APT APARTMENT RENTAL","BLK. 6 LOT 27, DIAMOND ST. GREENWOODS PHASE 4","PINAGBUHATAN","14.5579576","121.0933078"
"MULTI-LINK FIBER SYSTEMS INC.","BLK. 6 LOT 8 PIGEON ST., PINALAD NAGPAYONG, PINAGBUHATAN","SER TELECOM","BLK. 6 LOT 8 PIGEON ST., PINALAD NAGPAYONG","PINAGBUHATAN","14.5453574","121.0976494"
"HARWEN ENTERPRISES","BLK. 6, LOT 7  VILLA FRANCISCA(RAYMUNDO), CENTENNIAL II, PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE; RET HARDWARE","BLK. 6, LOT 7  VILLA FRANCISCA(RAYMUNDO), CENTENNIAL II","PINAGBUHATAN","14.5493464","121.099429"
"ED'S HARDWARE","BLK. 7 LOT 2-A 2ND FLR RNL BLDG., GREENWOODS AVE. GREENWOOD EXEC. VILLAGE, PINAGBUHATAN","SER FRANCHISING","BLK. 7 LOT 2-A 2ND FLR RNL BLDG., GREENWOODS AVE. GREENWOOD EXEC. VILLAGE","PINAGBUHATAN","14.5610559","121.1011604"
"GREAT AND GRAND CONSUMER GOODS TRADING","BLK. 8 LOT 23, CAMELLA, ABRAZA SUBD., Pinagbuhatan","RET TRADING","BLK. 8 LOT 23, CAMELLA, ABRAZA SUBD.","PINAGBUHATAN","14.5612368","121.0887864"
"BOSSSHOPGARAGE MOTORCYCLE PARTS AND ACCESSORIES SHOP","BLK. 8 LOT 40, A MABINI ST. KABALIKAT ASS NAGPAYONG, PINAGBUHATAN","RET MOTOR CYCLE PARTS","BLK. 8 LOT 40, A MABINI ST. KABALIKAT ASS NAGPAYONG","PINAGBUHATAN","14.5628429","120.9880306"
"BMC HARDWARE SUPPLY","BLK.1 LOT1 CAIMITO ST. COR. CENTENNIAL  ROADCENT`L. 2 NAGPAYONG, PINAGBUHATAN, PASIG CITY, PINAGBUHATAN","RET RETAILER","BLK.1 LOT1 CAIMITO ST. COR. CENTENNIAL  ROADCENT`L. 2 NAGPAYONG, PINAGBUHATAN, PASIG CITY","PINAGBUHATAN","14.5816271","121.1041521"
"RAMIL SARI-SARI STORE","BLK.17 LOT 23 ASILO AVE., MANGGA 2 NAGPAYONG, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES; SAR SARI-SARI STORE","BLK.17 LOT 23 ASILO AVE., MANGGA 2 NAGPAYONG","PINAGBUHATAN","14.5468933","121.1059895"
"MARUKO FOOD HOUSE","BLK.19, GINEBRA ST. EUSEBIO AVE., PINAGBUHATAN","RET LECHON MANOK","BLK.19, GINEBRA ST. EUSEBIO AVE.","PINAGBUHATAN","14.5414625","121.1055607"
"NXJL TRANSPORT SERVICES OPC","BLK.2 LOT24, PROMISELAND CENTENNIAL II-B NAGPAYONG, PINAGBUHATAN","SER TRANSPORTATION SERVICES","BLK.2 LOT24, PROMISELAND CENTENNIAL II-B NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"SUPERB GOLD PAWNSHOP, INC.","BLK.28, MOLAVE ST.,KENNETH ROAD, PINAGBUHATAN","PWN PAWNSHOP (BRANCH); IN6 MONEY CHANGER; SER MONEY REMITTANCE","BLK.28, MOLAVE ST.,KENNETH ROAD","PINAGBUHATAN","14.5437549","121.103602"
